"TIMESTAMP","BattV_Min","PTemp_C_Max","Temp","Temp_Avg","Temp_Max","Temp_TMx","Temp_Min","Temp_TMn","Umid","Umid_Avg","Umid_Max","Umid_TMx","Umid_Min","Umid_TMn","Pressao","Pressao_Avg","Pressao_Max","Pressao_TMx","Pressao_Min","Pressao_TMn","Tempbar","Tempbar_Avg","Tempbar_Max","Tempbar_TMx","Tempbar_Min","Tempbar_TMn","RadFlux","RadFlux_Avg","RadFlux_Max","RadFlux_TMx","RadTot_Tot","VelVento_Max","VelVento_TMx","VelVento_S_WVT","DirVento_D1_WVT","DirVento_SD1_WVT","Chuva_Tot"
"TS","Volts","Deg C","C","C","C","","C","","%","%","%","","%","","mbar","mbar","mbar","","mbar","","C","C","C","","C","","W/m^2","W/m^2","W/m^2","","MJ/m^2","meters/second","","meters/second","Deg","Deg","mm"
"2023-07-01 00:00:00",12.03,21.48,17.87,18.19,18.42,"2023-06-30 23:24:11",17.86,"2023-06-30 23:58:31",82.2,81.6,83.2,"2023-06-30 23:00:01",80.6,"2023-06-30 23:24:21",1021,1021.448,1021.642,"2023-06-30 23:00:01",1021.203,"2023-06-30 23:13:02",21.62,21.69347,21.869,"2023-06-30 23:00:01",21.607,"2023-06-30 23:53:22",0,0,0,"2023-06-30 23:00:01",0,4.802,"2023-06-30 23:15:13",0.817,18,19.58,0
"2023-07-01 01:00:00",11.99,21.26,17.07,17.52,17.9,"2023-07-01 00:01:01",17.04,"2023-07-01 00:59:31",87.6,84.9,87.6,"2023-07-01 00:58:51",82.1,"2023-07-01 00:01:31",1022,1021.434,1021.616,"2023-07-01 00:05:52",1021.215,"2023-07-01 00:27:12",21.3,21.4922,21.627,"2023-07-01 00:00:22",21.287,"2023-07-01 00:58:22",0,0,0,"2023-07-01 00:00:01",0,1.372,"2023-07-01 00:19:31",0.047,72.36,14.96,0
"2023-07-01 02:00:00",12.02,20.96,16.98,17.13,17.32,"2023-07-01 01:13:11",16.97,"2023-07-01 01:59:11",87.8,87.9,88.9,"2023-07-01 01:21:51",86.8,"2023-07-01 01:41:11",1021,1021.346,1021.63,"2023-07-01 01:18:12",1020.954,"2023-07-01 01:59:52",20.65,20.9523,21.296,"2023-07-01 01:00:01",20.654,"2023-07-01 01:59:52",0,0,0,"2023-07-01 01:00:01",0,2.744,"2023-07-01 01:32:33",0.755,150.2,23.61,0
"2023-07-01 03:00:00",12.01,20.34,16.46,16.72,17,"2023-07-01 02:01:01",16.46,"2023-07-01 02:59:41",88.9,88.9,89.8,"2023-07-01 02:40:41",87.8,"2023-07-01 02:00:01",1020,1020.654,1020.965,"2023-07-01 02:00:22",1020.287,"2023-07-01 02:59:32",20.22,20.43714,20.673,"2023-07-01 02:00:22",20.204,"2023-07-01 02:59:32",0,0,0,"2023-07-01 02:00:01",0,1.47,"2023-07-01 02:46:43",0.041,147.8,3.845,0
"2023-07-01 04:00:00",12.02,19.86,16.5,16.27,16.55,"2023-07-01 03:59:41",16.06,"2023-07-01 03:30:01",91.1,89.9,91.1,"2023-07-01 03:59:51",89,"2023-07-01 03:00:01",1020,1020.283,1020.521,"2023-07-01 03:29:22",1020.121,"2023-07-01 03:13:22",19.81,19.9962,20.224,"2023-07-01 03:00:01",19.803,"2023-07-01 03:59:42",0,0,0,"2023-07-01 03:00:01",0,0,"2023-07-01 03:00:01",0,0,0,0
"2023-07-01 05:00:00",12.02,19.47,16.02,16.25,16.51,"2023-07-01 04:00:01",16.01,"2023-07-01 04:51:11",91.8,91.6,92,"2023-07-01 04:55:01",90.8,"2023-07-01 04:03:11",1020,1020.02,1020.193,"2023-07-01 04:02:12",1019.894,"2023-07-01 04:53:22",19.59,19.70409,19.822,"2023-07-01 04:00:22",19.577,"2023-07-01 04:57:12",0,0,0,"2023-07-01 04:00:01",0,1.47,"2023-07-01 04:18:56",0.078,131.4,5.593,0
"2023-07-01 06:00:00",12.02,19.21,16.14,15.92,16.16,"2023-07-01 05:58:11",15.69,"2023-07-01 05:20:41",92.3,91.9,92.5,"2023-07-01 05:40:41",91.3,"2023-07-01 05:07:11",1020,1020.035,1020.16,"2023-07-01 05:59:52",1019.917,"2023-07-01 05:00:22",19.53,19.47922,19.587,"2023-07-01 05:00:01",19.41,"2023-07-01 05:34:32",0,0,0,"2023-07-01 05:00:01",0,0.588,"2023-07-01 05:18:06",0.004,112,1.511,0
"2023-07-01 07:00:00",12.02,19.26,15.92,16.14,16.22,"2023-07-01 06:06:11",15.9,"2023-07-01 06:59:41",91.3,92.2,92.6,"2023-07-01 06:22:11",91.3,"2023-07-01 06:58:41",1021,1020.485,1020.686,"2023-07-01 06:37:02",1020.16,"2023-07-01 06:00:01",19.55,19.5997,19.656,"2023-07-01 06:17:52",19.508,"2023-07-01 06:00:02",2.367,0.265,2.367,"2023-07-01 06:59:38",0.0009537542,1.666,"2023-07-01 06:37:05",0.14,145,10.27,0
"2023-07-01 08:00:00",12.03,19.18,15.52,15.56,15.92,"2023-07-01 07:00:01",15.42,"2023-07-01 07:46:21",92.8,92.1,92.8,"2023-07-01 07:59:01",91.3,"2023-07-01 07:00:01",1021,1020.735,1021.003,"2023-07-01 07:54:42",1020.559,"2023-07-01 07:00:32",19.51,19.44565,19.548,"2023-07-01 07:00:01",19.381,"2023-07-01 07:30:02",37.37,18.7,37.37,"2023-07-01 07:59:56",0.06730761,0,"2023-07-01 07:00:01",0,0,0,0
